1,WJS6HP98R56E9O,N,470
2,JB2853E35M1O67,N,288
3,EOJEM544S81K91,S,148
4,JGL70X653190PI,S,244
5,E53HF690PNOZH3,N,499
6,93FPQF53J7M00N,N,140
7,X99JY08OGX69J8,N,59
8,R0GI404V2H814K,N,36
9,6T1RU6643BYSUY,S,20
10,JB2853E35M1O67,N,17
11,S42757DEZY04R1,N,289
12,92R772Y7R42JDF,N,354
13,673UBXWO1V6VB1,S,487
14,1J0S6TEM6N95S6,N,259
15,UUW2878MRW3G2Z,N,96
16,32UNZ87XN1Q42X,S,209
17,KDTBR41D13C733,N,231
18,S4YF2V10LQBX4K,S,213
19,J6WZ83MCIQT599,S,280
20,9MEH353213M990,S,17
21,2Q7Y84D159YRAD,N,151
22,U0AC9RP4B1L6K2,N,346
23,2199F5E5I95H16,N,481
24,S6QBWQ59RAO332,S,404
25,G0I1C59K29U71I,S,4
26,ICS0444S88YCQE,S,341
27,2W593R10DRVMRL,S,121
28,218273P9JXC289,S,20
29,S42757DEZY04R1,S,376
30,K75IHV835XB8UH,N,256
31,423P1E0587FW7X,N,138
32,1P0TUH0P97A50V,N,45
33,3YZFL91NCD56R6,N,79
34,347S3K4MR4500C,S,88
35,I0WZM5OY648Z70,N,466
36,XHXNSTM56Z7803,S,42
37,32UNZ87XN1Q42X,S,213
38,P96RVIK32CVL2J,S,21
39,QACV70RZGC1R03,N,448
40,5766B525QN07VC,N,148
41,K2K467E9WVQSG3,S,332
42,X07C0ZD1Q7A4QL,N,228
43,QUCN66CF71B46Z,S,400
44,2FSG6Q2TUYWPAK,N,437
45,7E1OE97OFCCZ8Z,N,470
46,423P1E0587FW7X,N,161
47,91134D984YNRQQ,S,175
48,39LROZX5S5BO8S,S,331
49,218273P9JXC289,S,218
50,465AIJ5VI9697R,S,89
51,WSX3YF45FDD789,S,334
52,F69M4P61I8K742,N,195
53,WSX3YF45FDD789,N,435
54,UUW2878MRW3G2Z,S,472
55,KY7IJY201D3997,S,490
56,F5C5NX6RS1JVSG,S,498
57,EP20UQI875X6J1,S,396
58,1T308IT46MV137,N,33
59,E53HF690PNOZH3,N,64
60,A76DXKFDE2ZS9P,S,389
61,94K23IO0CY68A0,N,500
62,UUW2878MRW3G2Z,S,128
63,423P1E0587FW7X,N,350
64,QUCN66CF71B46Z,S,220
65,DJL98M648K4AY9,N,180
66,32T2W68RK3M44Z,S,139
67,OKO12BQP65DN00,N,110
68,N720A0ZVC8E8E7,S,180
